"assists","boosts","damage_dealt","headshot_kills","heals","kill_place","kill_points","kills","kill_streaks","longest_kill","match_duration","match_type","max_place","rank_points","ride_distance","road_kills","swim_distance","team_kills","vehicle_destroys","walk_distance","weapons_acquired","win_points","win_place_perc","total_distance","weapon_bins","player_type"
0,0,200,0,0,21,0,2,1,79.16,1353,"solo-fpp",97,1500,0,0,0,0,0,770.5,5,0,51.04,770.5,"3-5","Pro"
0,0,0,0,0,46,0,0,0,0,1464,"squad",28,1500,0,0,0,0,0,2543,7,0,77.78,2543,"6-10","Noob"
4,3,462,0,3,23,1359,1,1,6.212,1883,"squad-fpp",27,-1,1356,0,0,0,0,3758,8,1541,100,5114,"6-10","Pro"
0,0,226.2,1,1,28,1279,1,1,260.1,1782,"squad",31,-1,0,0,0,0,0,1075,2,1423,40,1075,"0-2","Pro"
0,4,416.4,1,4,13,0,2,1,116.7,1388,"duo-fpp",49,1494,0,0,181.1,0,0,2519,3,0,87.5,2700.1,"3-5","Pro"
0,0,197.3,0,1,52,0,0,0,0,1282,"duo-fpp",43,1480,0,0,0,0,0,381.9,4,0,42.86,381.9,"3-5","Pro"
0,0,115.4,0,0,71,0,0,0,0,1771,"squad-fpp",28,1495,0,0,0,0,0,452.5,5,0,29.63,452.5,"3-5","Average"
0,1,0,0,5,71,0,0,0,0,1807,"squad-fpp",29,1450,261.1,0,0,0,0,387.7,5,0,25,648.8,"3-5","Noob"
1,8,469.9,1,3,5,0,4,1,94.75,1779,"duo-fpp",46,1500,1859,0,6.201,0,0,3674,8,0,93.33,5539.201,"6-10","Pro"
0,0,101.2,0,0,71,1038,0,0,0,1426,"squad-fpp",27,0,0,0,0,0,0,198.2,3,1497,23.08,198.2,"3-5","Average"
0,3,79.12,0,0,54,1109,0,0,0,1463,"solo",98,-1,0,0,0,0,0,2133,3,1502,68.04,2133,"3-5","Noob"
0,0,10.83,0,0,86,1275,0,0,0,1849,"squad-fpp",29,-1,0,0,0,0,0,160.8,5,1453,10.71,160.8,"3-5","Noob"
0,1,169.7,1,1,19,0,2,1,15.1,1393,"solo-fpp",93,1525,0,0,0,0,0,261.7,4,0,54.35,261.7,"3-5","Average"
1,1,113.2,1,5,34,0,1,1,10.09,1432,"squad",29,1407,0,0,0,0,0,327.5,2,0,28.57,327.5,"0-2","Average"
0,1,81.01,0,0,27,1192,1,1,254.3,1335,"solo-fpp",98,-1,0,0,0,0,0,1790,6,1446,81.44,1790,"6-10","Noob"
0,0,100,0,0,79,1096,0,0,0,1867,"duo-fpp",47,-1,0,0,0,0,0,51.93,2,1454,19.57,51.93,"0-2","Average"
0,0,100,1,0,26,0,1,1,46.99,1961,"solo",97,1520,3202,0,0,0,0,3860,3,0,82.29,7062,"3-5","Average"
0,2,27.29,0,1,49,0,0,0,0,1869,"duo-fpp",49,1515,0,0,0,0,0,3280,7,0,70.83,3280,"6-10","Noob"
0,0,77.31,0,0,81,1432,0,0,0,1269,"duo-fpp",49,-1,0,0,0,0,0,22.04,2,1518,20.83,22.04,"0-2","Noob"
0,0,146.6,1,0,26,0,1,1,1.501,1412,"duo",47,1541,0,0,0,0,0,22.05,1,0,67.39,22.05,"0-2","Average"
0,0,0,0,0,76,1360,0,0,0,1362,"squad-fpp",30,-1,0,0,0,0,0,9.027,1,1496,20.69,9.027,"0-2","Noob"
